dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,ClassInt,AttrClass,median1,mean1,sdt1,skewness1,median2,mean2,sdt2,skewness2,median3,mean3,sdt3,skewness3,median4,mean4,sdt4,skewness4,entro_Class,totalCorr,SAR
pca_art01,87,0.33,0.87,0.73,0.85,0.88,100,2,4,PART,15,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.81
pca_art01,87,0.33,0.87,0.73,0.86,0.88,100,2,4,DecisionTable,49,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.81
pca_art01,85,0.36,0.85,0.7,0.82,0.84,100,2,4,JRip,34,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.78
pca_art01,87,0.31,0.87,0.73,0.96,0.96,100,2,4,SimpleLogistic,437,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.84
pca_art01,85,0.38,0.85,0.69,0.81,0.85,100,2,4,SMO,138,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.77
pca_art01,87,0.36,0.87,0.74,0.83,0.87,100,2,4,SVM,0.12,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.793333333
pca_art01,82,0.37,0.82,0.63,0.94,0.93,100,2,4,KStar,91,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.79
pca_art01,84,0.36,0.84,0.67,0.98,0.97,100,2,4,LWL,23,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.82
pca_art01,87,0.3,0.87,0.73,0.98,0.97,100,2,4,NaiveBayes,12,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.85
pca_art01,86,0.32,0.86,0.71,0.94,0.94,100,2,4,AdaBoostM1,39,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.83
pca_art01,87,0.33,0.87,0.73,0.89,0.89,100,2,4,Bagging,48,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.81
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Stacking,7,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.49
pca_art01,83,0.34,0.83,0.66,0.93,0.93,100,2,4,LogitBoost,45,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.81
pca_art01,50,0.53,0.34,0,0.52,0.5,100,2,4,ZeroR,2,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.49
pca_art01,85,0.35,0.85,0.7,0.82,0.85,100,2,4,IBk,10,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.78
pca_art01,79,0.45,0.78,0.57,0.74,0.78,100,2,4,OneR,26,0.02,2,-0.283222,-1.00E-08,2.805498955,0.126058487,0.005192,4.00E-08,2.189666282,0.510536389,0.116695,-2.00E-08,1.721090769,-0.175080251,0.1787625,3.00E-08,1.530769901,-0.349362619,0.688172179,4.856259537,0.71
pca_art03,60,0.45,0.59,0.4,0.78,0.81,100,3,4,KStar,63,0.03,1.333333333,0.0348005,-1.00E-08,3.072690504,-0.108122163,-0.3408215,-4.00E-08,2.920235931,0.062654349,0.053873,-3.00E-08,2.68650962,-0.154334286,-0.32049,2.00E-08,2.483741962,0.188203336,1.088579292,4.856259537,0.65
pca_art03,33,0.48,0.19,0,0.39,0.5,100,3,4,ZeroR,1,0.03,1.333333333,0.0348005,-1.00E-08,3.072690504,-0.108122163,-0.3408215,-4.00E-08,2.920235931,0.062654349,0.053873,-3.00E-08,2.68650962,-0.154334286,-0.32049,2.00E-08,2.483741962,0.188203336,1.088579292,4.856259537,0.45
pca_art03,68,0.44,0.68,0.5,0.7,0.8,100,3,4,IBk,3,0.03,1.333333333,0.0348005,-1.00E-08,3.072690504,-0.108122163,-0.3408215,-4.00E-08,2.920235931,0.062654349,0.053873,-3.00E-08,2.68650962,-0.154334286,-0.32049,2.00E-08,2.483741962,0.188203336,1.088579292,4.856259537,0.68
